Time,Date,Light Intensity,Temperature,Humid,T_Delta,H_Delta,L_Delta
2024-04-28 06:30:11,06:30:11,391.25,19,44,0.0,0.0,159.58333330000005
2024-04-26 06:30:16,06:30:16,326.6666667,17,41,0.0,0.0,426.24999999999994
2024-04-24 06:30:16,06:30:16,363.3333333,18,47,0.0,0.0,436.6666667
2024-04-25 06:30:18,06:30:18,414.1666667,16,37,0.0,0.0,417.0833333
2024-04-23 06:30:19,06:30:19,400.8333333,20,49,0.0,1.0,1163.7499997
2024-04-21 06:30:20,06:30:20,439.1666667,19,51,0.0,1.0,1170.0000003
2024-04-22 06:30:21,06:30:21,466.25,19,52,0.0,0.0,1100.833333
2024-04-27 06:30:29,06:30:29,440.8333333,18,47,0.0,1.0,276.6666667
2024-04-20 06:30:51,06:30:51,67.08333333,15,63,0.0,0.0,81.66666667
2024-04-28 06:40:11,06:40:11,550.8333333,19,44,0.0,1.0,-155.41666660000004
2024-04-24 06:40:16,06:40:16,800.0,18,47,0.0,1.0,-394.5833333
2024-04-26 06:40:18,06:40:18,752.9166667,17,41,0.0,-1.0,-300.83333339999996
2024-04-23 06:40:18,06:40:18,1564.583333,20,50,0.0,0.0,-1069.583333
2024-04-25 06:40:20,06:40:20,831.25,16,37,0.0,-1.0,-456.6666667
2024-04-22 06:40:21,06:40:21,1567.083333,19,52,0.0,0.0,-873.333333
2024-04-21 06:40:22,06:40:22,1609.166667,19,52,0.0,-1.0,-427.91666699999996
2024-04-27 06:40:28,06:40:28,717.5,18,48,0.0,0.0,-467.0833333
2024-04-20 06:40:52,06:40:52,148.75,15,63,0.0,0.0,-75.83333333
2024-04-28 06:50:13,06:50:13,395.4166667,19,45,0.0,0.0,-205.83333340000001
2024-04-24 06:50:16,06:50:16,405.4166667,18,48,0.0,0.0,-1.25
2024-04-23 06:50:18,06:50:18,495.0,20,50,0.0,0.0,-187.5
2024-04-26 06:50:18,06:50:18,452.0833333,17,40,0.0,0.0,5.833333400000015
2024-04-25 06:50:20,06:50:20,374.5833333,16,36,-1.0,0.0,36.66666670000001
2024-04-22 06:50:21,06:50:21,693.75,19,52,0.0,0.0,-354.5833333
2024-04-21 06:50:22,06:50:22,1181.25,19,51,0.0,0.0,-821.25
2024-04-27 06:50:31,06:50:31,250.4166667,18,48,0.0,1.0,2.0833332999999925
2024-04-20 06:50:53,06:50:53,72.91666667,15,63,0.0,0.0,4.583333330000002
2024-04-24 07:00:16,07:00:16,404.1666667,18,48,-7.0,10.0,908.3333333
2024-04-26 07:00:17,07:00:17,457.9166667,17,40,-2.0,23.0,9603.3333333
2024-04-25 07:00:20,07:00:20,411.25,15,36,-6.0,37.0,4760.0
2024-04-23 07:00:20,07:00:20,307.5,20,50,-2.0,5.0,460.0
2024-04-21 07:00:21,07:00:21,360.0,19,51,-4.0,19.0,154.16666669999995
2024-04-22 07:00:23,07:00:23,339.1666667,19,52,-5.0,20.0,3665.8333333
2024-04-27 07:00:30,07:00:30,252.5,18,49,-1.0,10.0,11592.5
2024-04-20 07:00:56,07:00:56,77.5,15,63,1.0,0.0,420.0
